Release group ID,Release calendar year_start,Release calendar year_end,Water year (WY),Decade,Hatchery name,Data Source,Data status,Total number released,Mean fish mass (g),Release date_start,Release date_end,Release calendar month_start,Release calendar month_end,Rel Water_reported,Release Site_reported,Release Life History Stage_reported,Release_water_AS,Release_site_AS,Release_lat_AS,Release_long_AS,Hatchery-to-release-site-distance_rkm,Release-site-to-ocean-distance_rkm,Source_AS,Notes_AS
4,1950,1950,1950,1,COLEMAN NFH,2011 BO,final,24,NA,NA,NA,NA,NA,NA,SACRAMENTO RIVER,NA,Sacramento River,Sacramento River at Battle Creek,40.35485,-122.17526,9.35,508.51,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
9,1951,1951,1951,1,COLEMAN NFH,2011 BO,final,27,NA,NA,NA,NA,NA,NA,SACRAMENTO RIVER,NA,Sacramento River,Sacramento River at Battle Creek,40.35485,-122.17526,9.35,508.51,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
10,1951,1951,1951,1,COLEMAN NFH,2011 BO,final,83,NA,NA,NA,NA,NA,NA,SACRAMENTO RIVER,NA,Sacramento River,Sacramento River at Battle Creek,40.35485,-122.17526,9.35,508.51,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
429,2002,2002,2002,6,COLEMAN NFH,RMIS,final,73759,NA,37280,37280,1,1,NA,SAC R AT BEND BRIDGE,NA,Sacramento River,Bend Bridge,40.2635,-122.2245,31.81,486.05,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
431,2002,2002,2002,6,COLEMAN NFH,RMIS,final,41682,NA,37281,37281,1,1,NA,SAC R AT BEND BRIDGE,NA,Sacramento River,Bend Bridge,40.2635,-122.2245,31.81,486.05,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
433,2003,2003,2003,6,COLEMAN NFH,RMIS,final,130552,NA,37629,37629,1,1,NA,SAC R AT BEND BRIDGE,NA,Sacramento River,Bend Bridge,40.2635,-122.2245,31.81,486.05,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
438,2003,2003,2003,6,COLEMAN NFH,RMIS,final,70886,NA,37631,37631,1,1,NA,SAC R AT BEND BRIDGE,NA,Sacramento River,Bend Bridge,40.2635,-122.2245,31.81,486.05,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
439,2004,2004,2004,6,COLEMAN NFH,RMIS,final,230653,NA,37991,37994,1,1,NA,SAC R AT BEND BRIDGE,NA,Sacramento River,Bend Bridge,40.2635,-122.2245,31.81,486.05,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
637,1998,1998,1998,6,FEATHER R HATCHERY,Annual Report,draft,38270,NA,NA,NA,1,1,Feather River,Boyd's Pump Boat Ramp,NA,Feather River,Boyd's Pump,39.058038,-121.610567,71.9,239.84,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
638,1998,1998,1998,6,FEATHER R HATCHERY,Annual Report,draft,321470,NA,NA,NA,1,1,Feather River,NA,NA,Feather River,Feather River Hatchery,39.51636,-121.55603,0,313.87,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
639,1998,1998,1998,6,FEATHER R HATCHERY,Annual Report,draft,660,NA,NA,NA,NA,NA,Mokelumne River,Lodi Lake,NA,Mokelumne River,Lodi Lake,38.1482,-121.2954,38.08,167.95,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
1418,1964,1965,1965,2,MOK R FISH INS,Annual Report,final,92525,NA,NA,NA,1,6,NA,NA,Yearling,Mokelumne River,Mokelumne River Hatchery,38.22488,-121.02448,164.23,206.03,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
1420,1965,1966,1966,2,MOK R FISH INS,Annual Report,final,131420,NA,NA,NA,7,1,Mokelumne River,NA,NA,Mokelumne River,Mokelumne River Hatchery,38.22488,-121.02448,164.23,206.03,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
1424,1966,1966,1966,2,MOK R FISH INS,Annual Report,final,27150,NA,NA,NA,NA,NA,Mokelumne River,Mokelumne River Fish Installation,NA,Mokelumne River,Mokelumne River Hatchery,38.22488,-121.02448,164.23,206.03,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
1425,1966,1966,1966,2,MOK R FISH INS,Annual Report,final,57260,NA,NA,NA,NA,NA,Mokelumne River,Below Woodbridge Dam,NA,Mokelumne River,Below Woodbridge Dam,38.15658,-121.29773,39.16,166.88,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
1508,1977,1977,1977,3,MOK R FISH INS,Annual Report,final,47700,NA,NA,NA,1,1,Mokelumne River,NA,NA,Mokelumne River,Mokelumne River Hatchery,38.22488,-121.02448,164.23,206.03,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
1509,1977,1977,1977,3,MOK R FISH INS,Annual Report,final,4052,NA,NA,NA,NA,NA,Mokelumne River,NA,NA,Mokelumne River,Mokelumne River Hatchery,38.22488,-121.02448,164.23,206.03,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
1510,1977,1977,1977,3,MOK R FISH INS,Annual Report,final,8237,NA,NA,NA,NA,NA,NA,NA,Yearling,Mokelumne River,Mokelumne River Hatchery,38.22488,-121.02448,164.23,206.03,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
1511,1979,1979,1979,4,MOK R FISH INS,Annual Report,final,10559,NA,NA,NA,NA,NA,Mokelumne River,NA,Yearling,Mokelumne River,Mokelumne River Hatchery,38.22488,-121.02448,164.23,206.03,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
1512,1979,1979,1979,4,MOK R FISH INS,Annual Report,final,4095,NA,NA,NA,NA,NA,Mokelumne River,NA,Yearling,Mokelumne River,Mokelumne River Hatchery,38.22488,-121.02448,164.23,206.03,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
1513,1980,1980,1980,4,MOK R FISH INS,Annual Report,final,20000,NA,NA,NA,NA,NA,Lake Merced,NA,Yearling,Lake Merced,Lake Merced,37.719915,-122.493053,NA,NA,NEW,Landlocked
1514,1980,1980,1980,4,MOK R FISH INS,Annual Report,final,32075,NA,NA,NA,NA,NA,Mokelumne River,NA,Yearling,Mokelumne River,Mokelumne River Hatchery,38.22488,-121.02448,164.23,206.03,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
1515,1980,1980,1980,4,MOK R FISH INS,Annual Report,final,15095,NA,NA,NA,NA,NA,Mokelumne River,NA,Yearling,Mokelumne River,Mokelumne River Hatchery,38.22488,-121.02448,164.23,206.03,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
1516,1981,1981,1981,4,MOK R FISH INS,Annual Report,final,19554,NA,NA,NA,NA,NA,Mokelumne River,NA,Yearling,Mokelumne River,Mokelumne River Hatchery,38.22488,-121.02448,164.23,206.03,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
1517,1981,1981,1981,4,MOK R FISH INS,Annual Report,final,20000,NA,NA,NA,NA,NA,Lake Merced,NA,Yearling,Lake Merced,Lake Merced,37.719915,-122.493053,NA,NA,NEW,Landlocked
1518,1981,1981,1981,4,MOK R FISH INS,Annual Report,final,12620,NA,NA,NA,NA,NA,Mokelumne River,NA,Yearling,Mokelumne River,Mokelumne River Hatchery,38.22488,-121.02448,164.23,206.03,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
1519,1982,1982,1982,4,MOK R FISH INS,Annual Report,final,18480,NA,NA,NA,NA,NA,Mokelumne River,NA,Yearling,Mokelumne River,Mokelumne River Hatchery,38.22488,-121.02448,164.23,206.03,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
1520,1982,1982,1982,4,MOK R FISH INS,Annual Report,final,20250,NA,NA,NA,NA,NA,Lake Merced,NA,Yearling,Lake Merced,Lake Merced,37.719915,-122.493053,NA,NA,NEW,Landlocked
1521,1982,1982,1982,4,MOK R FISH INS,Annual Report,final,3743,NA,NA,NA,NA,NA,Mokelumne River,NA,Yearling,Mokelumne River,Mokelumne River Hatchery,38.22488,-121.02448,164.23,206.03,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
1522,1983,1983,1983,4,MOK R FISH INS,Annual Report,final,18750,NA,NA,NA,NA,NA,Mokelumne River,NA,Yearling,Mokelumne River,Mokelumne River Hatchery,38.22488,-121.02448,164.23,206.03,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
1523,1983,1983,1983,4,MOK R FISH INS,Annual Report,final,21000,NA,NA,NA,NA,NA,Lake Merced,NA,Yearling,Lake Merced,Lake Merced,37.719915,-122.493053,NA,NA,NEW,Landlocked
1524,1983,1983,1983,4,MOK R FISH INS,Annual Report,final,17612,NA,NA,NA,NA,NA,Mokelumne River,NA,Yearling,Mokelumne River,Mokelumne River Hatchery,38.22488,-121.02448,164.23,206.03,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
1528,1984,1984,1984,4,MOK R FISH INS,Annual Report,final,10520,NA,NA,NA,NA,NA,Mokelumne River,NA,Yearling,Mokelumne River,Mokelumne River Hatchery,38.22488,-121.02448,164.23,206.03,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
1529,1984,1984,1984,4,MOK R FISH INS,Annual Report,final,20000,NA,NA,NA,NA,NA,Lake Merced,NA,Yearling,Lake Merced,Lake Merced,37.719915,-122.493053,NA,NA,NEW,Landlocked
1991,2000,2000,2000,6,MOK R FISH INS,CAHR PROJECT,draft,124117,NA,36526,36526,1,1,NA,THORNTON (NEW HOPE),NA,Mokelumne River,Thornton,38.22645,-121.41077,58.07,147.96,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
1992,2000,2000,2000,6,MOK R FISH INS,CAHR PROJECT,draft,612,NA,36526,36526,1,1,NA,FEATHER RIVER HATCHERY,NA,Feather River,Feather River Hatchery,39.51636,-121.55603,0,313.87,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
2327,1957,1958,1958,2,NIMBUS FISH HATCHERY,Annual Report,final,66748,NA,NA,NA,NA,NA,American River,NA,NA,American River,Nimbus Fish Hatchery,38.637,-121.221,0,210.99,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
2328,1957,1958,1958,2,NIMBUS FISH HATCHERY,Annual Report,final,924189,NA,NA,NA,NA,NA,American River,NA,NA,American River,Nimbus Fish Hatchery,38.637,-121.221,0,210.99,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
2329,1958,1958,1958,2,NIMBUS FISH HATCHERY,Annual Report,final,17108,NA,NA,NA,7,7,American River,NA,NA,American River,Nimbus Fish Hatchery,38.637,-121.221,0,210.99,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
2332,1958,1959,1959,2,NIMBUS FISH HATCHERY,Annual Report,final,101440,NA,NA,NA,8,12,NA,NA,NA,American River,Nimbus Fish Hatchery,38.637,-121.221,0,210.99,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
2333,1959,1959,1959,2,NIMBUS FISH HATCHERY,Annual Report,final,371345,NA,NA,NA,1,2,NA,NA,Yearling,American River,Nimbus Fish Hatchery,38.637,-121.221,0,210.99,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
2334,1959,1959,1959,2,NIMBUS FISH HATCHERY,Annual Report,final,29764,NA,NA,NA,6,6,NA,NA,NA,American River,Nimbus Fish Hatchery,38.637,-121.221,0,210.99,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
2347,1963,1964,1964,2,NIMBUS FISH HATCHERY,Annual Report,final,350430,NA,NA,NA,7,3,NA,NA,NA,American River,Nimbus Fish Hatchery,38.637,-121.221,0,210.99,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
2351,1964,1965,1965,2,NIMBUS FISH HATCHERY,Annual Report,final,392478,NA,NA,NA,7,2,NA,NA,NA,American River,Nimbus Fish Hatchery,38.637,-121.221,0,210.99,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
2352,1965,1965,1965,2,NIMBUS FISH HATCHERY,Annual Report,final,123662,NA,NA,NA,4,6,American River,Nimbus Hatchery,NA,American River,Nimbus Fish Hatchery,38.637,-121.221,0,210.99,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
2353,1966,1966,1966,2,NIMBUS FISH HATCHERY,Annual Report,final,68998,NA,NA,NA,2,3,Sacramento River,Clarksburg,NA,Sacramento River,Clarksburg,38.4152,-121.52175,66.04,144.95,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
2354,1966,1966,1966,2,NIMBUS FISH HATCHERY,Annual Report,final,73215,NA,NA,NA,2,3,American River,Nimbus Hatchery,NA,American River,Nimbus Fish Hatchery,38.637,-121.221,0,210.99,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
2355,1966,1967,1967,2,NIMBUS FISH HATCHERY,Annual Report,final,87725,NA,NA,NA,7,6,American River,Nimbus Hatchery,NA,American River,Nimbus Fish Hatchery,38.637,-121.221,0,210.99,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
2356,1967,1967,1967,2,NIMBUS FISH HATCHERY,Annual Report,final,217090,NA,NA,NA,2,4,Sacramento River,Clarksburg,Yearling,Sacramento River,Clarksburg,38.4152,-121.52175,66.04,144.95,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
2371,1970,1970,1970,3,NIMBUS FISH HATCHERY,Annual Report,final,2568,NA,NA,NA,5,5,North Star Pond,Grass Valley,NA,NA,NA,NA,NA,NA,NA,NA,Couldn't find
2372,1970,1970,1970,3,NIMBUS FISH HATCHERY,Annual Report,final,383535,NA,NA,NA,5,5,American River,Nimbus Hatchery,NA,American River,Nimbus Fish Hatchery,38.637,-121.221,0,210.99,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
2519,1983,1983,1983,4,NIMBUS FISH HATCHERY,Annual Report,final,280940,NA,NA,NA,6,6,American River,Nimbus Hatchery,NA,American River,Nimbus Fish Hatchery,38.637,-121.221,0,210.99,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
507,1973,1973,1974,3,FEATHER R HATCHERY,Annual Report,final,1480,3500,NA,NA,10,10,Feather River,Feather River Hatchery,NA,Feather River,Feather River Hatchery,39.51636,-121.55603,0,313.87,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
236,1975,1975,1975,3,COLEMAN NFH,2011 BO,final,437,3216.89311,NA,NA,1,1,NA,SHASTA LAKE,NA,Sacramento River,Shasta Lake,40.719095,-122.418251,NA,NA,NEW,New (looked up)
485,1972,1972,1972,3,FEATHER R HATCHERY,Annual Report,final,95,2600,NA,NA,9,9,Feather River,NA,NA,Feather River,Feather River Hatchery,39.51636,-121.55603,0,313.87,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
233,1974,1974,1974,3,COLEMAN NFH,2011 BO,final,2,2492.455322,NA,NA,6,6,NA,SHASTA LAKE,NA,Sacramento River,Shasta Lake,40.719095,-122.418251,NA,NA,NEW,New (looked up)
1480,1974,1974,1974,3,MOK R FISH INS,Annual Report,final,44,2267.96,NA,NA,7,10,Mokelumne River,NA,NA,Mokelumne River,Mokelumne River Hatchery,38.22488,-121.02448,164.23,206.03,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
223,1974,1974,1974,3,COLEMAN NFH,2011 BO,final,552,1886.823366,NA,NA,1,1,NA,KESWICK RESERVOIR,NA,Sacramento River,Keswick Reservoir,40.614803,-122.445103,NA,NA,NEW,NA
224,1974,1974,1974,3,COLEMAN NFH,2011 BO,final,654,1886.823366,NA,NA,2,2,NA,KESWICK RESERVOIR,NA,Sacramento River,Keswick Reservoir,40.614803,-122.445103,NA,NA,NEW,NA
1471,1974,1974,1974,3,MOK R FISH INS,Annual Report,final,78,1814.368,NA,NA,1,1,Mokelumne River,NA,NA,Mokelumne River,Mokelumne River Hatchery,38.22488,-121.02448,164.23,206.03,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
225,1974,1974,1974,3,COLEMAN NFH,2011 BO,final,3,1625.144531,NA,NA,2,2,NA,SHASTA COLLEGE,NA,NA,NA,NA,NA,NA,NA,EXCL,Assume used for research
2188,2009,2009,2009,7,MOK R FISH INS,State DB,final,108,1587.572,39821,39821,1,1,Mokelumne River,Elliot Road,Yearling,Mokelumne River,Elliot Road,38.17488,-121.1694,NA,NA,THIS_DB,NA
2280,2014,2014,2014,7,MOK R FISH INS,State DB,final,540,1406.975185,41788,41788,5,5,Lodi Lake,Parking Lot,Yearling,Mokelumne River,Lodi Lake,38.1482,-121.2954,38.08,167.95,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
1490,1975,1975,1975,3,MOK R FISH INS,Annual Report,final,196,1360.776,NA,NA,6,6,Mokelumne River,NA,NA,Mokelumne River,Mokelumne River Hatchery,38.22488,-121.02448,164.23,206.03,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
2319,2016,2016,2016,7,MOK R FISH INS,State DB,final,509,1247.600786,42524,42524,6,6,Mokelumne River,Lodi Lake,Yearling,Mokelumne River,Lodi Lake,38.1482,-121.2954,38.08,167.95,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
516,1975,1975,1975,3,FEATHER R HATCHERY,Annual Report,final,426,1140,NA,NA,3,3,Feather River,Gridley,NA,Feather River,Gridley,39.3593,-121.6365,25.95,285.78,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
2212,2010,2010,2010,7,MOK R FISH INS,State DB,final,450,1108.780444,40333,40333,6,6,Mokelumne River,Lodi Lake,Yearling,Mokelumne River,Lodi Lake,38.1482,-121.2954,38.08,167.95,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
2271,2013,2013,2013,7,MOK R FISH INS,State DB,final,550,997.9024,41425,41425,5,5,Mokelumne River,Lake Lodi,Yearling,Mokelumne River,Lodi Lake,38.1482,-121.2954,38.08,167.95,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
162,1969,1969,1969,3,COLEMAN NFH,2011 BO,final,881,988.3571387,NA,NA,2,2,NA,SHASTA LAKE,NA,Sacramento River,Shasta Lake,40.719095,-122.418251,NA,NA,NEW,New (looked up)
2216,2010,2010,2011,7,MOK R FISH INS,State DB,final,629,973.5281399,40470,40470,10,10,Mokelumne River,Feist Ranch,Yearling,Mokelumne River,Feist Ranch,38.20974,-121.3757,NA,NA,THIS_DB,HAD TO ADD NEGATIVE SIGN TO LONG!
2214,2010,2010,2011,7,MOK R FISH INS,State DB,final,466,924.704721,40470,40470,10,10,Mokelumne River,Mokelumne River Hatchery,Yearling,Mokelumne River,Mokelumne River Hatchery,38.22488,-121.02448,164.23,206.03,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
1209,2012,2012,2012,7,FEATHER R HATCHERY,State DB,final,699,907.184,41061,41061,6,6,Feather River,Bedrock Park,Yearling,Feather River,Bedrock Park,39.51244,-121.5682,NA,NA,THIS_DB,NA
1481,1974,1974,1974,3,MOK R FISH INS,Annual Report,final,184,907.184,NA,NA,7,7,Mokelumne River,NA,NA,Mokelumne River,Mokelumne River Hatchery,38.22488,-121.02448,164.23,206.03,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
2012,2003,2003,2003,6,MOK R FISH INS,State DB,final,895,907.184,37720,37720,4,4,Mokelumne River,New Hope,Yearling,Mokelumne River,New Hope Landing,38.22846,-121.49129,70.6,135.43,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
2187,2008,2008,2008,7,MOK R FISH INS,State DB,final,1550,907.184,39721,39721,9,9,"San Pablo Bay, Crockett",Shore Terminal,Yearling,San Pablo Bay,Shore Terminal,38.05761,-122.24493,170.46,41.5,THIS_DB,NA
2301,2015,2015,2015,7,MOK R FISH INS,State DB,final,460,907.184,42153,42153,5,5,Mokelumne River,Lodi Lake,Yearling,Mokelumne River,Lodi Lake,38.1482,-121.2954,38.08,167.95,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
2215,2010,2010,2011,7,MOK R FISH INS,State DB,final,630,898.5585521,40470,40470,10,10,Mokelumne River,Mokelumne River Hatchery,Yearling,Mokelumne River,Mokelumne River Hatchery,38.22488,-121.02448,164.23,206.03,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
2180,2008,2008,2008,7,MOK R FISH INS,State DB,final,1562,871.1754161,39714,39714,9,9,"San Pablo Bay, Crockett",Shore Terminal,Yearling,San Pablo Bay,Shore Terminal,38.05761,-122.24493,170.46,41.5,THIS_DB,NA
2182,2008,2008,2008,7,MOK R FISH INS,State DB,final,1562,871.1754161,39715,39715,9,9,"San Pablo Bay, Crockett",Shore Terminal,Yearling,San Pablo Bay,Shore Terminal,38.05761,-122.24493,170.46,41.5,THIS_DB,NA
2184,2008,2008,2008,7,MOK R FISH INS,State DB,final,729,871.0957476,39716,39716,9,9,"San Pablo Bay, Crockett",Shore Terminal,Yearling,San Pablo Bay,Shore Terminal,38.05761,-122.24493,170.46,41.5,THIS_DB,NA
2181,2008,2008,2008,7,MOK R FISH INS,State DB,final,625,870.89664,39714,39714,9,9,"San Pablo Bay, Crockett",Shore Terminal,Yearling,San Pablo Bay,Shore Terminal,38.05761,-122.24493,170.46,41.5,THIS_DB,NA
2213,2010,2010,2011,7,MOK R FISH INS,State DB,final,466,827.367382,40470,40470,10,10,Mokelumne River,Feist Ranch,Yearling,Mokelumne River,Feist Ranch,38.20974,-121.3757,NA,NA,THIS_DB,HAD TO ADD NEGATIVE SIGN!
206,1973,1973,1973,3,COLEMAN NFH,2011 BO,final,945,821.0079282,NA,NA,3,3,NA,SHASTA LAKE,NA,Sacramento River,Shasta Lake,40.719095,-122.418251,NA,NA,NEW,New (looked up)
2186,2008,2008,2008,7,MOK R FISH INS,State DB,final,1714,793.9183197,39717,39717,9,9,"San Pablo Bay, Crockett",Shore Terminal,Yearling,San Pablo Bay,Shore Terminal,38.05761,-122.24493,170.46,41.5,THIS_DB,NA
2232,2011,2011,2011,7,MOK R FISH INS,State DB,final,250,793.786,40814,40814,9,9,Mokelumne River,Mokelumne River Hatchery,Yearling,Mokelumne River,Mokelumne River Hatchery,38.22488,-121.02448,164.23,206.03,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
2231,2011,2011,2011,7,MOK R FISH INS,State DB,final,236,768.8,40814,40814,9,9,Mokelumne River,Feist Ranch,Yearling,Mokelumne River,Feist Ranch,38.20974,-121.3757,NA,NA,THIS_DB,HAD TO ADD NEGATIVE SIGN TO LONG!
2185,2008,2008,2008,7,MOK R FISH INS,State DB,final,780,755.9866667,39717,39717,9,9,"San Pablo Bay, Crockett",Shore Terminal,Yearling,San Pablo Bay,Shore Terminal,38.05761,-122.24493,170.46,41.5,THIS_DB,NA
2183,2008,2008,2008,7,MOK R FISH INS,State DB,final,1000,725.7472,39716,39716,9,9,"San Pablo Bay, Crockett",Shore Terminal,Yearling,San Pablo Bay,Shore Terminal,38.05761,-122.24493,170.46,41.5,THIS_DB,NA
484,1972,1972,1972,3,FEATHER R HATCHERY,Annual Report,final,960,716.9,NA,NA,8,8,Feather River,NA,NA,Feather River,Feather River Hatchery,39.51636,-121.55603,0,313.87,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
2273,2013,2013,2014,7,MOK R FISH INS,State DB,final,583,680.7770154,41568,41568,10,10,Mokelumne River,Feist Ranch,Yearling,Mokelumne River,Feist Ranch,38.20974,-121.3757,NA,NA,THIS_DB,HAD TO ADD NEGATIVE SIGN TO LONG!
2024,2004,2004,2004,6,MOK R FISH INS,State DB,final,176,680.388,38142,38142,6,6,Mokelumne River,Lodi Lake,Yearling,Mokelumne River,Lodi Lake,38.1482,-121.2954,38.08,167.95,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
2144,2007,2007,2007,6,MOK R FISH INS,State DB,final,600,680.388,39234,39234,6,6,Mokelumne River,Lodi Lake,Yearling,Mokelumne River,Lodi Lake,38.1482,-121.2954,38.08,167.95,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
2179,2008,2008,2008,7,MOK R FISH INS,State DB,final,400,680.388,39598,39598,5,5,Mokelumne River,Lodi Lake,Yearling,Mokelumne River,Lodi Lake,38.1482,-121.2954,38.08,167.95,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
235,1974,1975,1975,3,COLEMAN NFH,2011 BO,final,600,673.8751736,NA,NA,6,4,NA,SHASTA LAKE,NA,Sacramento River,Shasta Lake,40.719095,-122.418251,NA,NA,NEW,New (looked up)
2095,2006,2006,2006,6,MOK R FISH INS,State DB,final,777,647.9885714,38870,38870,6,6,Mokelumne River,Lodi Lake,Yearling,Mokelumne River,Lodi Lake,38.1482,-121.2954,38.08,167.95,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
2072,2005,2005,2005,6,MOK R FISH INS,State DB,final,969,589.810031,38506,38506,6,6,Mokelumne River,Lodi Lake,Yearling,Mokelumne River,Lodi Lake,38.1482,-121.2954,38.08,167.95,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
2229,2011,2011,2011,7,MOK R FISH INS,State DB,final,500,544.3104,40697,40697,6,6,Mokelumne River,Lodi Lake,Yearling,Mokelumne River,Lodi Lake,38.1482,-121.2954,38.08,167.95,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
2230,2011,2011,2011,7,MOK R FISH INS,State DB,final,249,544.3104,40814,40814,9,9,Mokelumne River,Mokelumne River Hatchery,Yearling,Mokelumne River,Mokelumne River Hatchery,38.22488,-121.02448,164.23,206.03,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
2233,2011,2011,2011,7,MOK R FISH INS,State DB,final,262,544.3104,40814,40814,9,9,Mokelumne River,Feist Ranch,Yearling,Mokelumne River,Feist Ranch,38.20974,-121.3757,NA,NA,THIS_DB,HAD TO ADD NEGATIVE SIGN TO LONG!
2272,2013,2013,2014,7,MOK R FISH INS,State DB,final,518,544.135268,41568,41568,10,10,Mokelumne River,Feist Ranch,Yearling,Mokelumne River,Feist Ranch,38.20974,-121.3757,NA,NA,THIS_DB,HAD TO ADD NEGATIVE SIGN TO LONG!
1686,1990,1990,1990,5,MOK R FISH INS,CAHR PROJECT,draft,810,504,33107,33107,8,8,NA,MOKELUMNE DAY USE AREA,NA,Mokelumne River,Mokelumne River Hatchery,38.22488,-121.02448,164.23,206.03,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
1687,1990,1990,1990,5,MOK R FISH INS,CAHR PROJECT,draft,810,504,33113,33113,8,8,NA,MOKELUMNE DAY USE AREA,NA,Mokelumne River,Mokelumne River Hatchery,38.22488,-121.02448,164.23,206.03,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
1688,1990,1990,1990,5,MOK R FISH INS,CAHR PROJECT,draft,810,504,33121,33121,9,9,NA,MOKELUMNE DAY USE AREA,NA,Mokelumne River,Mokelumne River Hatchery,38.22488,-121.02448,164.23,206.03,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
1689,1990,1990,1990,5,MOK R FISH INS,CAHR PROJECT,draft,1530,504,33128,33128,9,9,NA,MOKELUMNE DAY USE AREA,NA,Mokelumne River,Mokelumne River Hatchery,38.22488,-121.02448,164.23,206.03,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
1461,1973,1973,1973,3,MOK R FISH INS,Annual Report,final,3025,498.9512,NA,NA,8,8,Mokelumne River,NA,NA,Mokelumne River,Mokelumne River Hatchery,38.22488,-121.02448,164.23,206.03,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
1464,1973,1973,1973,3,MOK R FISH INS,Annual Report,final,1000,498.9512,NA,NA,9,9,Mokelumne River,New Hope Landing,NA,Mokelumne River,New Hope Landing,38.22846,-121.49129,70.6,135.43,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
1465,1973,1973,1973,3,MOK R FISH INS,Annual Report,final,1000,498.9512,NA,NA,9,9,Three-Mile Slough,Brannon Island State Park,NA,Sacramento River,Brannan Island,38.107969,-121.702938,103.07,102.96,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
