wy,number_released
1999,1536979
2000,1437300
2001,1523962
2002,1864671
2003,1375586
2004,1720653
2005,1413446
2006,1976013
2007,1644433
2008,1927957
2009,2085025
2010,1418151
2011,1477137
2012,1237276
2013,1782273
2014,1582850
2015,1869840
2016,1302031
2017,1019501
2018,811379
2019,2129939
2020,1084899
2021,1853751
2022,1676701
2023,1623483
2024,1592998
